Date,Count
2023-01-31,4
2023-02-28,2
2023-03-31,8
2023-04-30,6
2023-05-31,9
2023-07-31,6
2023-08-31,4
2023-09-30,6
2023-10-31,6
2023-11-30,13
2023-12-31,6
2024-01-31,9
2024-02-29,1
2024-03-31,6
2024-04-30,11
